Gene stable ID	Gene stable ID version	Gene name	Gene start (bp)	Gene end (bp)	Chromosome/scaffold name
ENSG00000273554	ENSG00000273554.4		1139577	1147868	KI270728.1
ENSG00000273748	ENSG00000273748.1		54224	83311	GL000219.1
ENSG00000275869	ENSG00000275869.1		933862	936467	KI270728.1
ENSG00000277836	ENSG00000277836.1		1270984	1271271	KI270728.1
ENSG00000278633	ENSG00000278633.1		10598	13001	KI270731.1
ENSG00000281766	ENSG00000281766.4	RYBP	49076	122044	HG126_PATCH
ENSG00000288269	ENSG00000288269.1	GCGR	17625	27501	HG1320_PATCH
ENSG00000288213	ENSG00000288213.1	MCRIP1	35854	46795	HG1320_PATCH
ENSG00000291368	ENSG00000291368.1	ACR	74316	81453	HG1311_HG2539_PATCH
ENSG00000291362	ENSG00000291362.1	C8orf33	9906	24126	HG1047_PATCH
ENSG00000292254	ENSG00000292254.1	SHANK3	8917	69331	HG1311_HG2539_PATCH
ENSG00000281934	ENSG00000281934.1	PRAMEF11	6118	12923	HG1342_HG2282_PATCH
ENSG00000282175	ENSG00000282175.4	HNRNPCL1	28921	30238	HG1342_HG2282_PATCH
ENSG00000282817	ENSG00000282817.1	PRAMEF2	38599	43422	HG1342_HG2282_PATCH
ENSG00000282584	ENSG00000282584.2	PRAMEF4	60725	67714	HG1342_HG2282_PATCH
ENSG00000282663	ENSG00000282663.1	PRAMEF10	74409	79783	HG1342_HG2282_PATCH
ENSG00000279195	ENSG00000279195.2	PRAMEF7	98123	101995	HG1342_HG2282_PATCH
ENSG00000282119	ENSG00000282119.2	PRAMEF6	119985	129093	HG1342_HG2282_PATCH
ENSG00000288186	ENSG00000288186.1	PPP1R27	46985	48543	HG1320_PATCH
ENSG00000282437	ENSG00000282437.2	PRAMEF27	203816	210831	HG1342_HG2282_PATCH
ENSG00000282559	ENSG00000282559.1	HNRNPCL3	215209	216569	HG1342_HG2282_PATCH
ENSG00000282566	ENSG00000282566.2	PRAMEF25	223017	232224	HG1342_HG2282_PATCH
ENSG00000282530	ENSG00000282530.2	HNRNPCL2	269828	271194	HG1342_HG2282_PATCH
ENSG00000291363	ENSG00000291363.1	MUC5AC	155427	198622	HG107_HG2565_PATCH
ENSG00000293532	ENSG00000293532.1	MUC2	71614	108092	HG107_HG2565_PATCH
ENSG00000281987	ENSG00000281987.2	PRAMEF26	303245	310301	HG1342_HG2282_PATCH
ENSG00000282095	ENSG00000282095.3	HNRNPCL4	318926	319807	HG1342_HG2282_PATCH
ENSG00000282298	ENSG00000282298.1	PRAMEF9	326795	333804	HG1342_HG2282_PATCH
ENSG00000282741	ENSG00000282741.3	PRAMEF13	350528	355749	HG1342_HG2282_PATCH
ENSG00000282212	ENSG00000282212.2	PRAMEF18	377045	380446	HG1342_HG2282_PATCH
ENSG00000282424	ENSG00000282424.1	PRAMEF5	408552	417654	HG1342_HG2282_PATCH
ENSG00000282583	ENSG00000282583.1	PRAMEF8	435375	439514	HG1342_HG2282_PATCH
ENSG00000282125	ENSG00000282125.2	PRAMEF33	457879	463247	HG1342_HG2282_PATCH
ENSG00000293551	ENSG00000293551.1	PRAMEF22	157184	159964	HG1342_HG2282_PATCH
ENSG00000291365	ENSG00000291365.1	CNTNAP3C	48751	219108	HG1206_PATCH
ENSG00000261958	ENSG00000261958.1	OR9G1	7154	8071	HG151_NOVEL_TEST
ENSG00000262191	ENSG00000262191.1	OR9G9	18234	19151	HG151_NOVEL_TEST
ENSG00000262647	ENSG00000262647.3	OR9G4	60669	61653	HG151_NOVEL_TEST
ENSG00000281449	ENSG00000281449.2	BCL2L14	18842	180082	HG1362_PATCH
ENSG00000281107	ENSG00000281107.1	OR5G3	137423	138358	HG151_NOVEL_TEST
ENSG00000281324	ENSG00000281324.3	LRP6	85023	236042	HG1362_PATCH
ENSG00000288175	ENSG00000288175.3	SYT15B	11715	24443	HG1277_PATCH
ENSG00000288157	ENSG00000288157.1	NPY4R2	137021	141806	HG1277_PATCH
ENSG00000288481	ENSG00000288481.1	FAM25C	213604	218073	HG1277_PATCH
ENSG00000291426	ENSG00000291426.1	TOLLIP	8637	43920	HG152_PATCH
ENSG00000291428	ENSG00000291428.1	BRSK2	124165	196955	HG152_PATCH
ENSG00000281818	ENSG00000281818.3	MANSC1	295054	319240	HG1362_PATCH
ENSG00000291431	ENSG00000291431.1	DUSP8	294027	312247	HG152_PATCH
ENSG00000291433	ENSG00000291433.1	KRTAP5-1	324318	325259	HG152_PATCH
ENSG00000291434	ENSG00000291434.1	KRTAP5-2	337153	338270	HG152_PATCH
ENSG00000291435	ENSG00000291435.1	KRTAP5-3	347541	348439	HG152_PATCH
ENSG00000291440	ENSG00000291440.1	KRTAP5-4	360934	362114	HG152_PATCH
ENSG00000291443	ENSG00000291443.1	KRTAP5-5	369751	370906	HG152_PATCH
ENSG00000280689	ENSG00000280689.3	BORCS5	326076	440236	HG1362_PATCH
ENSG00000291442	ENSG00000291442.1	MOB2	203723	274455	HG152_PATCH
ENSG00000280962	ENSG00000280962.3	DUSP16	442285	531866	HG1362_PATCH
ENSG00000288204	ENSG00000288204.1	HMX1	98859	124622	HG1298_PATCH
ENSG00000291455	ENSG00000291455.1	TSPY8	225079	227881	HG1532_PATCH
ENSG00000291458	ENSG00000291458.1	TSPY4	204746	207566	HG1532_PATCH
ENSG00000291459	ENSG00000291459.1	TSPY9	488788	491602	HG1532_PATCH
ENSG00000288499	ENSG00000288499.1	FAM20C	168259	235989	HG1309_PATCH
ENSG00000288431	ENSG00000288431.1		238026	238462	HG1309_PATCH
ENSG00000281230	ENSG00000281230.3	SERTAD4	12538	26373	HG1832_PATCH
ENSG00000284255	ENSG00000284255.1	OR4C12	23101	24163	HG1708_PATCH
ENSG00000292249	ENSG00000292249.1	OR4C45	74500	75420	HG1708_PATCH
ENSG00000280680	ENSG00000280680.3	HHAT	107994	459395	HG1832_PATCH
ENSG00000288263	ENSG00000288263.1	GRK1	18042	39335	HG1524_PATCH
ENSG00000291381	ENSG00000291381.1	ARHGEF19	1991	16789	HG1343_HG173_HG459_PATCH
ENSG00000291382	ENSG00000291382.1	CPLANE2	35829	41320	HG1343_HG173_HG459_PATCH
ENSG00000291375	ENSG00000291375.1	FBXO42	50977	156623	HG1343_HG173_HG459_PATCH
ENSG00000291379	ENSG00000291379.1	SZRD1	156718	202286	HG1343_HG173_HG459_PATCH
ENSG00000291401	ENSG00000291401.1	SPATA21	191257	241687	HG1343_HG173_HG459_PATCH
ENSG00000291380	ENSG00000291380.1	NECAP2	244986	264343	HG1343_HG173_HG459_PATCH
ENSG00000291387	ENSG00000291387.1	PADI2	1481961	1534651	HG1343_HG173_HG459_PATCH
ENSG00000291465	ENSG00000291465.1	GPR20	23024	33840	HG2031_PATCH
ENSG00000291470	ENSG00000291470.1	PTP4A3	58549	99008	HG2031_PATCH
ENSG00000292226	ENSG00000292226.2		366657	428849	HG1343_HG173_HG459_PATCH
ENSG00000291474	ENSG00000291474.1	C8orf90	181192	185291	HG2031_PATCH
ENSG00000291473	ENSG00000291473.2	MROH5	100379	173784	HG2031_PATCH
ENSG00000292228	ENSG00000292228.2		1011165	1078120	HG1343_HG173_HG459_PATCH
ENSG00000292227	ENSG00000292227.2		585030	647269	HG1343_HG173_HG459_PATCH
ENSG00000292225	ENSG00000292225.2	NBPF1	1198562	1260797	HG1343_HG173_HG459_PATCH
ENSG00000292338	ENSG00000292338.1	DHRSX	2219506	2502805	Y
ENSG00000293604	ENSG00000293604.1	ORAI1	32306	48880	HG2047_PATCH
ENSG00000292354	ENSG00000292354.1	SHOX	624344	659411	Y
ENSG00000292363	ENSG00000292363.1	CRLF2	1190490	1212723	Y
ENSG00000292336	ENSG00000292336.1	ASMT	1615059	1643081	Y
ENSG00000291420	ENSG00000291420.1	ACTG1	165618	180052	HG1369_PATCH
ENSG00000291421	ENSG00000291421.1	BAHCC1	50095	122536	HG1369_PATCH
ENSG00000292345	ENSG00000292345.2	ZBED1	2486414	2502862	Y
ENSG00000292327	ENSG00000292327.2	PPP2R3B	333933	386955	Y
ENSG00000285312	ENSG00000285312.1	C6orf52	182302	205681	HG2057_PATCH
ENSG00000292348	ENSG00000292348.2	CD99	2690988	2741312	Y
ENSG00000285226	ENSG00000285226.2	PAK1IP1	205856	220666	HG2057_PATCH
ENSG00000284936	ENSG00000284936.2	TMEM14C	233799	242013	HG2057_PATCH
ENSG00000292344	ENSG00000292344.2	PLCXD1	276322	303358	Y
ENSG00000285222	ENSG00000285222.3	GCNT2	3107	140252	HG2057_PATCH
ENSG00000292333	ENSG00000292333.2	P2RY8	1462572	1537187	Y
ENSG00000292332	ENSG00000292332.2	IL3RA	1335025	1382689	Y
ENSG00000292358	ENSG00000292358.3	GTPBP6	303346	318846	Y
ENSG00000292334	ENSG00000292334.2	SLC25A6	1386133	1392929	Y
ENSG00000292339	ENSG00000292339.2	ASMTL	1403138	1453786	Y
ENSG00000292357	ENSG00000292357.3	CSF2RA	1268779	1325373	Y
ENSG00000288260	ENSG00000288260.1		32845	52502	HG1395_PATCH
ENSG00000288297	ENSG00000288297.1	ECSCR	39089	52538	HG1395_PATCH
ENSG00000288274	ENSG00000288274.1	SMIM33	60573	64567	HG1395_PATCH
ENSG00000288243	ENSG00000288243.1	STING1	65328	72730	HG1395_PATCH
ENSG00000292343	ENSG00000292343.2	AKAP17A	1591604	1602532	Y
ENSG00000292372	ENSG00000292372.1	WASH6P	57207346	57212230	Y
ENSG00000292373	ENSG00000292373.3	IL9R	57184216	57199537	Y
ENSG00000292366	ENSG00000292366.2	VAMP7	57067747	57130289	Y
ENSG00000183753	ENSG00000183753.10	BPY2	22973819	23005465	Y
ENSG00000169953	ENSG00000169953.12	HSFY2	18731440	18773735	Y
ENSG00000172468	ENSG00000172468.14	HSFY1	18546691	18588963	Y
ENSG00000176679	ENSG00000176679.9	TGIF2LY	3579067	3580041	Y
ENSG00000182415	ENSG00000182415.11	CDY2A	18025787	18027746	Y
ENSG00000185894	ENSG00000185894.8	BPY2C	25030901	25062548	Y
ENSG00000205916	ENSG00000205916.12	DAZ4	24833843	24907040	Y
ENSG00000291488	ENSG00000291488.1	ITGA9	21954	396164	HG2069_PATCH
ENSG00000129873	ENSG00000129873.8	CDY2B	17878260	17880220	Y
ENSG00000184895	ENSG00000184895.8	SRY	2786855	2787682	Y
ENSG00000129824	ENSG00000129824.16	RPS4Y1	2841602	2932000	Y
ENSG00000154620	ENSG00000154620.6	TMSB4Y	13703899	13706024	Y
ENSG00000129864	ENSG00000129864.7	VCY	13985772	13986473	Y
ENSG00000187191	ENSG00000187191.16	DAZ3	24763069	24813492	Y
ENSG00000188120	ENSG00000188120.16	DAZ1	23129355	23199010	Y
ENSG00000099721	ENSG00000099721.16	AMELY	6865918	6911752	Y
ENSG00000092377	ENSG00000092377.15	TBL1Y	6910686	7101970	Y
ENSG00000205944	ENSG00000205944.12	DAZ2	23219447	23291356	Y
ENSG00000288512	ENSG00000288512.1	C1R	8669	20226	HG1398_PATCH
ENSG00000129862	ENSG00000129862.7	VCY1B	14056227	14056958	Y
ENSG00000283068	ENSG00000283068.2	IBTK	29598	107366	HG2072_PATCH
ENSG00000288124	ENSG00000288124.1	C1RL	17273	36924	HG1398_PATCH
ENSG00000280969	ENSG00000280969.2	RPS4Y2	20756108	20781032	Y
ENSG00000099715	ENSG00000099715.15	PCDH11Y	5000226	5742224	Y
ENSG00000288369	ENSG00000288369.1	RBP5	43422	56575	HG1398_PATCH
ENSG00000288427	ENSG00000288427.1	CLSTN3	57384	86631	HG1398_PATCH
ENSG00000172352	ENSG00000172352.5	CDY1B	24045229	24048019	Y
ENSG00000183795	ENSG00000183795.8	BPY2B	24607560	24639207	Y
ENSG00000172288	ENSG00000172288.8	CDY1	25622117	25624902	Y
ENSG00000242875	ENSG00000242875.7	RBMY1B	21511338	21525786	Y
ENSG00000234414	ENSG00000234414.8	RBMY1A1	21534879	21549326	Y
ENSG00000288217	ENSG00000288217.3	PEX5	116371	146260	HG1398_PATCH
ENSG00000233803	ENSG00000233803.9	TSPY4	9337464	9340284	Y
ENSG00000283085	ENSG00000283085.3	TPBG	233021	240643	HG2072_PATCH
ENSG00000229549	ENSG00000229549.9	TSPY8	9357797	9360599	Y
ENSG00000228927	ENSG00000228927.10	TSPY3	9398421	9401223	Y
ENSG00000258992	ENSG00000258992.7	TSPY1	9466955	9469749	Y
ENSG00000238074	ENSG00000238074.6	TSPY9	9487267	9490081	Y
ENSG00000236424	ENSG00000236424.7	TSPY10	9527880	9530682	Y
ENSG00000291501	ENSG00000291501.1	TRIM71	186223	266050	HG2077_PATCH
ENSG00000291502	ENSG00000291502.1	CNOT10	53371	142101	HG2077_PATCH
ENSG00000168757	ENSG00000168757.13	TSPY2	6246223	6249019	Y
ENSG00000263150	ENSG00000263150.3	OR8J2	21622	22569	HG142_HG150_NOVEL_TEST
ENSG00000262851	ENSG00000262851.2	OR5T2	42855	43934	HG142_HG150_NOVEL_TEST
ENSG00000261897	ENSG00000261897.1	OR5T3	62949	63971	HG142_HG150_NOVEL_TEST
ENSG00000262784	ENSG00000262784.2	OR5T1	86388	87368	HG142_HG150_NOVEL_TEST
ENSG00000262611	ENSG00000262611.4	OR8H1	100802	101839	HG142_HG150_NOVEL_TEST
ENSG00000262755	ENSG00000262755.1	OR8K3	129056	129994	HG142_HG150_NOVEL_TEST
ENSG00000263328	ENSG00000263328.2	OR8K1	156788	157747	HG142_HG150_NOVEL_TEST
ENSG00000262796	ENSG00000262796.1	OR8J1	170964	172037	HG142_HG150_NOVEL_TEST
ENSG00000262315	ENSG00000262315.4	OR8U8	186374	187333	HG142_HG150_NOVEL_TEST
ENSG00000281038	ENSG00000281038.1	OR8U9	193979	194908	HG142_HG150_NOVEL_TEST
ENSG00000288319	ENSG00000288319.1		7682	21171	HG1485_PATCH
ENSG00000285435	ENSG00000285435.3	H3-4	16044	16524	HG2002_PATCH
ENSG00000284841	ENSG00000284841.1	H2AC25	48178	49072	HG2002_PATCH
ENSG00000285449	ENSG00000285449.1	H2BC26	49306	51669	HG2002_PATCH
ENSG00000285426	ENSG00000285426.4	RNF187	78581	87387	HG2002_PATCH
ENSG00000284984	ENSG00000284984.2	RHOU	312483	323668	HG2002_PATCH
ENSG00000288264	ENSG00000288264.1		2157	17417	HG2087_PATCH
ENSG00000288485	ENSG00000288485.1	ELP5	6744	15268	HG2087_PATCH
ENSG00000288292	ENSG00000288292.1	CLDN7	15231	19311	HG2087_PATCH
ENSG00000244395	ENSG00000244395.6	RBMY1D	21880076	21894526	Y
ENSG00000288174	ENSG00000288174.1	SLC2A4	37046	43585	HG2087_PATCH
ENSG00000280774	ENSG00000280774.2	LEUTX	36471	46043	HG2021_PATCH
ENSG00000242389	ENSG00000242389.9	RBMY1E	21903618	21918042	Y
ENSG00000281320	ENSG00000281320.3	DYRK1B	85226	94077	HG2021_PATCH
ENSG00000288504	ENSG00000288504.1	YBX2	43591	49967	HG2087_PATCH
ENSG00000288145	ENSG00000288145.1	EIF5A	65364	70828	HG2087_PATCH
ENSG00000169800	ENSG00000169800.14	RBMY1F	22168542	22182982	Y
ENSG00000280548	ENSG00000280548.4	FBL	94334	106255	HG2021_PATCH
ENSG00000226941	ENSG00000226941.9	RBMY1J	22403410	22417881	Y
ENSG00000281221	ENSG00000281221.3	PSMC4	246308	256907	HG2021_PATCH
ENSG00000288325	ENSG00000288325.1	GPS2	69689	73929	HG2087_PATCH
ENSG00000281526	ENSG00000281526.3	ZNF546	259277	296181	HG2021_PATCH
ENSG00000281601	ENSG00000281601.5	ZNF780B	303403	331374	HG2021_PATCH
ENSG00000280568	ENSG00000280568.2	ZNF780A	344295	366081	HG2021_PATCH
ENSG00000288456	ENSG00000288456.1		71026	77539	HG2087_PATCH
ENSG00000288301	ENSG00000288301.1	NEURL4	73993	87758	HG2087_PATCH
ENSG00000165246	ENSG00000165246.16	NLGN4Y	14522573	14845654	Y
ENSG00000281123	ENSG00000281123.5	FCGBP	123199	209777	HG2021_PATCH
ENSG00000067048	ENSG00000067048.18	DDX3Y	12904108	12920478	Y
ENSG00000284765	ENSG00000284765.2	CARMIL3	352987	370707	HG1_PATCH
ENSG00000288169	ENSG00000288169.1	ACAP1	94894	109842	HG2087_PATCH
ENSG00000285221	ENSG00000285221.1	CPNE6	371815	379078	HG1_PATCH
ENSG00000288399	ENSG00000288399.2	KCTD11	110254	113309	HG2087_PATCH
ENSG00000285063	ENSG00000285063.1	FRG2	116955	119843	HG2023_PATCH
ENSG00000283153	ENSG00000283153.2	FRG1	33800	56132	HG2023_PATCH
ENSG00000288511	ENSG00000288511.3	TMEM95	113488	115584	HG2087_PATCH
ENSG00000284383	ENSG00000284383.2		163856	165127	HG2023_PATCH
ENSG00000284496	ENSG00000284496.2		167162	168433	HG2023_PATCH
ENSG00000284262	ENSG00000284262.2		170468	171739	HG2023_PATCH
ENSG00000283767	ENSG00000283767.2		173774	175045	HG2023_PATCH
ENSG00000284210	ENSG00000284210.2		177080	178351	HG2023_PATCH
ENSG00000283884	ENSG00000283884.2		180386	181657	HG2023_PATCH
ENSG00000283955	ENSG00000283955.2		183692	184963	HG2023_PATCH
ENSG00000284025	ENSG00000284025.2		186998	188269	HG2023_PATCH
ENSG00000283878	ENSG00000283878.2		190304	191575	HG2023_PATCH
ENSG00000284181	ENSG00000284181.2		193610	194881	HG2023_PATCH
ENSG00000283820	ENSG00000283820.2		196916	198187	HG2023_PATCH
ENSG00000283363	ENSG00000283363.1	DUX4L8	160550	161824	HG2023_PATCH
ENSG00000283949	ENSG00000283949.3	DUX4	200222	211819	HG2023_PATCH
ENSG00000114374	ENSG00000114374.14	USP9Y	12537650	12860852	Y
ENSG00000285493	ENSG00000285493.3	NRL	381085	415992	HG1_PATCH
ENSG00000285241	ENSG00000285241.2	PCK2	395031	411576	HG1_PATCH
ENSG00000288435	ENSG00000288435.1	GJA10	92157	119448	HG2121_PATCH
ENSG00000288475	ENSG00000288475.5	CASP8AP2	25225	72124	HG2121_PATCH
ENSG00000284796	ENSG00000284796.3	DCAF11	415173	426220	HG1_PATCH
ENSG00000183878	ENSG00000183878.17	UTY	13234577	13480673	Y
ENSG00000284818	ENSG00000284818.1		421934	432807	HG1_PATCH
ENSG00000285321	ENSG00000285321.1	FITM1	432253	433827	HG1_PATCH
ENSG00000284916	ENSG00000284916.2	PSME1	437141	439945	HG1_PATCH
ENSG00000291520	ENSG00000291520.1	NXNL2	14578	64819	HG2158_PATCH
ENSG00000285377	ENSG00000285377.2	EMC9	439937	442569	HG1_PATCH
ENSG00000284889	ENSG00000284889.2	PSME2	444340	448548	HG1_PATCH
ENSG00000012817	ENSG00000012817.17	KDM5D	19703865	19744989	Y
ENSG00000285152	ENSG00000285152.2	RNF31	447661	461638	HG1_PATCH
ENSG00000280584	ENSG00000280584.3	OBP2B	31223	35196	HG2030_PATCH
ENSG00000281309	ENSG00000281309.2	SURF6	154870	162282	HG2030_PATCH
ENSG00000281022	ENSG00000281022.3	MED22	164406	174225	HG2030_PATCH
ENSG00000284845	ENSG00000284845.2		448526	467430	HG1_PATCH
ENSG00000285048	ENSG00000285048.2	IRF9	462243	467543	HG1_PATCH
ENSG00000280858	ENSG00000280858.3	RPL7A	174312	177520	HG2030_PATCH
ENSG00000285007	ENSG00000285007.2	REC8	472831	481235	HG1_PATCH
ENSG00000283984	ENSG00000283984.2		176775	177487	HG2030_PATCH
ENSG00000280627	ENSG00000280627.3	SURF1	177852	182770	HG2030_PATCH
ENSG00000281024	ENSG00000281024.3	SURF2	182644	187252	HG2030_PATCH
ENSG00000285248	ENSG00000285248.2	IPO4	481197	489847	HG1_PATCH
ENSG00000280951	ENSG00000280951.3	SURF4	187544	202260	HG2030_PATCH
ENSG00000281245	ENSG00000281245.2	STKLD1	202460	232190	HG2030_PATCH
ENSG00000280706	ENSG00000280706.3	REXO4	232153	244190	HG2030_PATCH
ENSG00000067646	ENSG00000067646.13	ZFY	2935281	2982512	Y
ENSG00000281244	ENSG00000281244.2	ADAMTS13	240452	285496	HG2030_PATCH
ENSG00000198692	ENSG00000198692.11	EIF1AY	20575694	20593154	Y
ENSG00000285125	ENSG00000285125.1		481373	491394	HG1_PATCH
ENSG00000285465	ENSG00000285465.2	TM9SF1	490127	496665	HG1_PATCH
ENSG00000285502	ENSG00000285502.1		490135	514451	HG1_PATCH
ENSG00000285140	ENSG00000285140.2	TSSK4	506674	509340	HG1_PATCH
ENSG00000285302	ENSG00000285302.5	CHMP4A	510561	514847	HG1_PATCH
ENSG00000285200	ENSG00000285200.2	MDP1	514921	517048	HG1_PATCH
ENSG00000285425	ENSG00000285425.1	NEDD8-MDP1	514933	533330	HG1_PATCH
ENSG00000285246	ENSG00000285246.2	NEDD8	517835	533345	HG1_PATCH
ENSG00000280479	ENSG00000280479.2	CACFD1	286059	296942	HG2030_PATCH
ENSG00000284752	ENSG00000284752.3	GMPR2	533400	540220	HG1_PATCH
ENSG00000281165	ENSG00000281165.3	SLC2A6	297188	305221	HG2030_PATCH
ENSG00000281879	ENSG00000281879.5	ABO	76358	102118	HG2030_PATCH
ENSG00000281813	ENSG00000281813.4	KAT6B	29603	237300	HG2191_PATCH
ENSG00000283781	ENSG00000283781.1	TNK1	991	10231	HG2046_PATCH
ENSG00000284009	ENSG00000284009.2	PLSCR3	10184	15299	HG2046_PATCH
ENSG00000284915	ENSG00000284915.3	TINF2	540621	543652	HG1_PATCH
ENSG00000285348	ENSG00000285348.2	TGM1	550092	565410	HG1_PATCH
ENSG00000284483	ENSG00000284483.1	TMEM256-PLSCR3	10191	24554	HG2046_PATCH
ENSG00000283771	ENSG00000283771.2	TMEM256	23432	24554	HG2046_PATCH
ENSG00000288508	ENSG00000288508.1	ISLR	1135	4297	HG2198_PATCH
ENSG00000283859	ENSG00000283859.2	NLGN2	25331	40317	HG2046_PATCH
ENSG00000285193	ENSG00000285193.1	RABGGTA	566516	572717	HG1_PATCH
ENSG00000288257	ENSG00000288257.1	STRA6	6891	39692	HG2198_PATCH
ENSG00000284598	ENSG00000284598.2	SPEM1	40781	42089	HG2046_PATCH
ENSG00000283714	ENSG00000283714.2	SPEM2	46073	48025	HG2046_PATCH
ENSG00000284090	ENSG00000284090.4	SPEM3	49314	53277	HG2046_PATCH
ENSG00000286184	ENSG00000286184.1		49318	56735	HG2046_PATCH
ENSG00000284228	ENSG00000284228.2	TMEM102	55892	58136	HG2046_PATCH
ENSG00000283903	ENSG00000283903.2	FGF11	58730	65394	HG2046_PATCH
ENSG00000283946	ENSG00000283946.2	CHRNB1	65518	78167	HG2046_PATCH
ENSG00000283868	ENSG00000283868.2	ZBTB4	79823	104720	HG2046_PATCH
ENSG00000284515	ENSG00000284515.1	SLC35G6	101789	103953	HG2046_PATCH
ENSG00000284832	ENSG00000284832.2	POLR2A	104823	135071	HG2046_PATCH
ENSG00000284868	ENSG00000284868.2	DHRS1	591576	600758	HG1_PATCH
ENSG00000285326	ENSG00000285326.3	NOP9	600828	610102	HG1_PATCH
ENSG00000281660	ENSG00000281660.1	DUSP29	242512	263190	HG2191_PATCH
ENSG00000285199	ENSG00000285199.1	CIDEB	606074	612408	HG1_PATCH
ENSG00000285203	ENSG00000285203.2	LTB4R2	606712	613031	HG1_PATCH
ENSG00000285456	ENSG00000285456.2	LTB4R	612428	619014	HG1_PATCH
ENSG00000284814	ENSG00000284814.1	ADCY4	619327	636071	HG1_PATCH
ENSG00000291479	ENSG00000291479.1	NAT8	310221	311920	HG2052_PATCH
ENSG00000291480	ENSG00000291480.1	TPRKB	398602	406898	HG2052_PATCH
ENSG00000291483	ENSG00000291483.1	DUSP11	431280	449630	HG2052_PATCH
ENSG00000291484	ENSG00000291484.1	C2orf78	453681	486646	HG2052_PATCH
ENSG00000291485	ENSG00000291485.1	NAT8B	370074	370838	HG2052_PATCH
ENSG00000288407	ENSG00000288407.1	CCDC33	30130	165741	HG2198_PATCH
ENSG00000291534	ENSG00000291534.1	LTN1	18878	83690	HG2219_PATCH
ENSG00000288362	ENSG00000288362.1	CYP11A1	167028	196915	HG2198_PATCH
ENSG00000291523	ENSG00000291523.1	RWDD2B	95118	110094	HG2219_PATCH
ENSG00000291527	ENSG00000291527.1	USP16	115363	145222	HG2219_PATCH
ENSG00000291533	ENSG00000291533.1	CCT8	146539	164531	HG2219_PATCH
ENSG00000285379	ENSG00000285379.2	RIPK3	637003	641000	HG1_PATCH
ENSG00000291525	ENSG00000291525.1	MAP3K7CL	168205	269780	HG2219_PATCH
ENSG00000288455	ENSG00000288455.1	SEMA7A	238558	263227	HG2198_PATCH
ENSG00000285485	ENSG00000285485.2	NFATC4	666651	680582	HG1_PATCH
ENSG00000288408	ENSG00000288408.1	UBL7	275246	290451	HG2198_PATCH
ENSG00000291544	ENSG00000291544.1	APOB	52097	94741	HG2231_HG2496_PATCH
ENSG00000291547	ENSG00000291547.1	TDRD15	174636	195036	HG2231_HG2496_PATCH
ENSG00000281877	ENSG00000281877.3	RPS6KA1	17379	62648	HG2058_PATCH
ENSG00000291539	ENSG00000291539.1	SEL1L2	57798	210052	HG2225_PATCH
ENSG00000282739	ENSG00000282739.1	SLC25A26	110410	365012	HG2235_PATCH
ENSG00000284807	ENSG00000284807.3	DHRS4	254713	270255	HG1_PATCH
ENSG00000292270	ENSG00000292270.1	DHRS4L2	270920	312726	HG1_PATCH
ENSG00000285070	ENSG00000285070.2	ADIPOR2	30718	130818	HG1815_PATCH
ENSG00000284953	ENSG00000284953.2	CACNA2D4	134107	260810	HG1815_PATCH
ENSG00000281614	ENSG00000281614.3	INPP5D	5305	153241	HG2232_PATCH
